Wow Class,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Ability ideas,ability,hidden ability,Moves etc.,,,
Blood DK,Ghost,Dark,170,110,105,90,100,20,575,Will of the Necropolis (reduced damage below 50% HP),Cursed Body,Dark Aura,"Marrowrend (phys dmg, (ground? dark) +1 def","Death Strike (ghost type, maybe dark, heals 100% of damage dealt)","AMS (+2 spdef, safeguard)",Blood boil
Unholy DK,Ghost,Poison,130,90,90,135,110,20,575,,Poison Touch,Parental Bond,,,,
Frost DK,Ghost,Ice,130,150,110,75,90,20,575,,Snow Warning,Sniper,,,,
Unevolved DK,Ghost,,80,80,75,65,75,20,395,,Hyper Cutter,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Drizzle,,,,
Mage,Fire,,55,15,30,95,90,90,375,,frost armor,,,,,
Frost Mage,Fire,Ice,100,20,65,128,125,116,554,,frost armor,,,,,
Fire Mage,Fire,Dragon,95,20,45,158,110,126,554,,Hot Streak,,,,,
Arcane Mage,Fire,Psychic,80,20,45,164,110,136,555,,mirror armor,,,,,
,,,,,,,,,,,,Solar power,,,,
,,,,,,,,,,,,Parental Bond,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Hot Streak (scoring a crit increases spatk by 1),,,,
